study,u,v,e
qin2020,120,500,11500
qin2020,120,1000,23000
qin2020,120,2000,46000
qin2020,120,4000,92000
qin2020,120,8000,184000
qin2020,120,8124,186852
lu2020,829,551,1476
lu2020,16726,22015,58595
abidi2020,20,44,99
abidi2020,254,868,1255
abidi2020,899,1421,33720
abidi2020,10106,16730,50632
abidi2020,4009,20537,95580
abidi2020,4009,11610,95580
abidi2020,16528,24129,95580
abidi2020,1408,26546,193618
abidi2020,2884,30997,201727
makino,22677,18484,247003
makino,33347,32757,233450
makino,20433,4297,127713
shaham2016,943,1682,100000
shaham2016,94238,30087,293360
shaham2016,172091,53407,293697
shaham2016,56519,120867,440237
shaham2016,21607,94756,549210
shaham2016,10764,163008,901416
shaham2016,6040,3706,1000209
shaham2016,32583,134942,1164576
shaham2016,17122,82035,2298816
shaham2016,69878,10677,10000054
lyu2020,89355,46213,144340
lyu2020,124325,94238,293360
lyu2020,56519,120867,440237
lyu2020,105278,340523,1149739
lyu2020,545195,96678,1301942
lyu2020,901130,34461,1366466
lyu2020,127823,383640,1470404
lyu2020,64415,87678,3232134
lyu2020,2036440,1853493,3795796
lyu2020,499610,395979,8545307
lyu2020,1425813,4000150,8649016
lyu2020,3201203,7489073,112307385
lyu2020,27665730,12756244,140613762
lyu2020,78582023,23827661,184265522
lyu2020,141839807,65589796,1307950593
lyu2020,272227190,75350951,1319706942
sozdinler2018,961,2096,3634
sozdinler2018,4026,96,40197
sozdinler2018,500,19,1465
sozdinler2018,1693,10,3114
sozdinler2018,1024,7,1674
sozdinler2018,1747,12,3746
sozdinler2018,21167,10,11115
sozdinler2018,4582,82,22279
sozdinler2018,3891,55,15747
sozdinler2018,34,568,5165
sozdinler2018,734,69,3810
sozdinler2018,943,1682,100000
mukherjee2014,NA,8114,26013
mukherjee2014,NA,125551,168087
mukherjee2014,NA,334863,925872
mukherjee2014,NA,262111,1234877
mukherjee2014,NA,251226,419573
mukherjee2014,NA,175944,252075
mukherjee2014,NA,3928,35397
mukherjee2014,NA,49142,171421
mukherjee2014,NA,150615,300398
mukherjee2014,NA,5021,17409
mukherjee2014,NA,50000,275659
mukherjee2014,NA,60000,330015
mukherjee2014,NA,70000,393410
mukherjee2014,NA,80000,448289
mukherjee2014,NA,90000,526943
mukherjee2014,NA,100000,600038
mukherjee2014,NA,250000,1562707
mukherjee2014,NA,500000,3751823
mukherjee2014,NA,150000,1999002
das2019,NA,225486,293697
das2019,NA,19428,96662
das2019,NA,124325,293360
das2019,NA,1199919,3782463
das2019,NA,641873,1301942
das2019,NA,445801,1149739
